@RELATION DiggSocialDynamics_AuthorshipBasedFeatures
@ATTRIBUTE authorDiggs  NUMERIC
@ATTRIBUTE authorcomments  NUMERIC
@ATTRIBUTE authorFans  NUMERIC
@ATTRIBUTE authorFollows  NUMERIC
@ATTRIBUTE authorSubmissions  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
71992, 2222, 3469, 272, 467, A
147388, 29039, 12127, 397, 1404, C
12274, 2524, 1515, 222, 390, A
13439, 12, 1599, 54, 282, B
2665, 259, 355, 58, 118, B
78181, 739, 5043, 283, 864, C
7628, 10, 627, 84, 139, A
108053, 1205, 7385, 351, 1595, B
108053, 1205, 7385, 351, 1595, C
1328, 16, 136, 26, 13, B
7628, 10, 627, 84, 139, B
82024, 2682, 7305, 863, 1010, B
71992, 2222, 3469, 272, 467, B
8695, 11, 895, 511, 148, C
97290, 1576, 26421, 615, 20976, C
13950, 289, 2957, 224, 551, C
1139, 7, 162, 36, 36, C
4764, 8, 1143, 903, 81, C
1526, 14, 105, 70, 14, C
51724, 2589, 3655, 155, 1132, B
41348, 6137, 3496, 446, 2269, B
145565, 367, 13198, 1644, 3369, A
28266, 1051, 8871, 276, 2177, B
4426, 48, 402, 161, 57, B
217898, 11753, 11736, 183, 2468, A
61067, 2743, 4795, 246, 675, C
1328, 16, 136, 26, 13, B
3593, 5, 195, 33, 47, C
92997, 477, 3648, 109, 359, C
197051, 1105, 11821, 227, 1037, C
319, 5, 65, 68, 14, C
25485, 3, 839, 215, 542, A
12849, 151, 884, 201, 165, B
4878, 43, 336, 41, 97, B
12849, 151, 884, 201, 165, C
61067, 2743, 4795, 246, 675, C
1972, 5, 152, 15, 38, A
7366, 210, 1042, 270, 198, C
2960, 11697, 1294, 706, 302, A
115800, 1166, 12264, 1991, 3103, C
9835, 138, 663, 135, 143, C
325505, 14513, 20355, 311, 2148, B
4834, 37, 338, 33, 78, A
43658, 930, 2596, 970, 4284, A
2665, 259, 355, 58, 118, C
2665, 259, 355, 58, 118, A
8736, 17, 656, 673, 6355, A
272, 1, 38, 35, 7, B
25451, 712, 1700, 249, 158, A
1347, 164, 445, 528, 1168, B
4426, 48, 402, 161, 57, A
109470, 548, 6099, 283, 894, A
34473, 1309, 2530, 134, 405, B
1293, 6, 278, 456, 323, C
254, 13, 321, 472, 17, A
116403, 2859, 6080, 374, 586, C
18554, 1, 2502, 174, 328, C
8027, 2, 591, 46, 122, B
2170, 4, 445, 442, 211, B
445, 4, 41, 72, 156, C
18461, 9, 425, 388, 266, A
461, 0, 103, 52, 14, B
461, 0, 103, 52, 14, C
372, 1, 107, 34, 15, B
68860, 1738, 2926, 340, 2761, A
14439, 55, 1162, 687, 283, B
2205, 13, 768, 22, 307, C
10622, 4, 1510, 38, 140, B
10622, 4, 1510, 38, 140, C
74114, 3551, 3051, 155, 1800, B
25485, 3, 839, 215, 542, A
7885, 24, 564, 123, 231, A
2341, 56, 372, 65, 93, B
2430, 4, 229, 38, 45, B
79, 0, 0, 0, 2, B
2430, 4, 229, 38, 45, B
3, 0, 0, 0, 1, A
8250, 14, 581, 39, 138, B
5183, 13, 451, 659, 156, A
14, 4, 0, 0, 4, A
109470, 548, 6099, 283, 894, B
232, 0, 33, 73, 18, C
97290, 1576, 26421, 615, 20976, A
13439, 12, 1599, 54, 282, B
163182, 2959, 8721, 1131, 2273, A
13128, 69, 1540, 96, 528, B
12541, 292, 1596, 372, 254, B
89683, 15816, 14333, 1550, 2667, A
116, 2, 54, 45, 1, B
6490, 113, 1598, 2527, 100, B
3747, 6, 236, 90, 62, B
49, 0, 24, 0, 41, A
166, 1, 73, 70, 2, C
49, 0, 24, 0, 41, A
49, 0, 24, 0, 41, B
7885, 24, 564, 123, 231, C
2193, 13, 722, 37, 406, B
61, 0, 12, 44, 3, B
3522, 22, 345, 307, 68, C
94, 9, 81, 89, 7, C
3548, 7, 173, 19, 45, B
14439, 55, 1162, 687, 283, B
14439, 55, 1162, 687, 283, B
1182, 6, 165, 5, 641, B
3995, 20, 281, 484, 198, A
2163, 3, 109, 52, 13, A
217898, 11753, 11736, 183, 2468, A
9852, 20, 898, 664, 90, A
7885, 24, 564, 123, 231, B
1652, 19, 227, 294, 33, A
59805, 754, 4787, 284, 1094, B
11497, 18, 571, 44, 165, C
6489, 3, 379, 37, 119, B
11497, 18, 571, 44, 165, B
92997, 477, 3648, 109, 359, B
372, 0, 32, 13, 14, A
86, 0, 9, 1, 3, A
89683, 15816, 14333, 1550, 2667, C
53, 2, 11, 4, 49, A
11497, 18, 571, 44, 165, A
7567, 252, 524, 50, 120, B
89683, 15816, 14333, 1550, 2667, A
226, 0, 0, 0, 5, A
898, 19, 302, 334, 21, A
12352, 336, 552, 138, 987, A
41348, 6137, 3496, 446, 2269, C
123675, 3530, 15477, 516, 1738, C
2, 2, 0, 0, 1, A
