@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE digg3  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE upc3  NUMERIC
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE tpc3  NUMERIC
@ATTRIBUTE authorDiggs  NUMERIC
@ATTRIBUTE authorComments  NUMERIC
@ATTRIBUTE authorFans  NUMERIC
@ATTRIBUTE authorFollows  NUMERIC
@ATTRIBUTE authorSubmissions  NUMERIC
@ATTRIBUTE class NUMERIC
@DATA
5,7,9,4,11,13,0,0,0,54741,303,2240,401,2090,21
11,17,18,4,10,13,0,0,0,9896,138,669,135,144,33
7,9,10,4,10,12,7,13,20,54741,303,2240,401,2090,80
4,7,8,4,10,12,0,0,0,32,0,0,0,16,13
14,29,41,3,9,12,0,0,0,403,1,108,34,15,136
5,5,16,2,8,12,0,0,0,7997,26,568,124,235,54
2,3,7,1,7,10,7,13,20,54741,303,2240,401,2090,72
7,7,7,0,7,10,0,0,0,762,112,59,84,169,12
0,32,42,0,7,10,7,14,20,202,0,73,35,11,145
0,26,35,0,6,10,0,0,0,202,0,73,35,11,106
0,5,8,0,6,10,0,0,0,20915,6165,1549,977,5409,11
0,12,17,0,6,10,13,27,39,20915,6165,1549,977,5409,94
0,7,9,0,5,10,0,0,0,2089,1516,1204,1029,31,28
0,25,37,0,5,10,0,0,0,10622,4,1515,38,140,109
0,32,48,0,5,10,0,0,0,79247,379,1789,1438,1328,154
0,15,27,0,4,10,0,0,0,2782,3,167,496,50,95
0,24,24,0,4,10,0,0,0,4342,15,496,361,266,24
0,24,36,0,4,10,12,26,40,2574,108,72,87,9,144
0,13,36,0,4,8,0,0,0,23813,118,3294,1189,306,71
0,29,43,0,3,8,7,13,20,10622,4,1515,38,140,200
0,34,46,0,3,8,6,13,20,10622,4,1515,38,140,143
0,11,16,0,3,8,7,14,20,23845,197,2824,943,297,98
0,23,23,0,3,8,0,0,0,53,2,11,4,49,23
0,19,22,0,2,7,0,0,0,611,0,45,30,48,28
0,9,12,0,2,7,0,0,0,32,32,59,2,30,13
0,16,16,0,2,7,0,0,0,278,0,32,0,75,17
0,14,18,0,1,7,7,13,20,23845,197,2824,943,297,104
0,19,19,0,1,7,0,0,0,278,0,32,0,75,19
0,16,16,0,1,6,0,0,0,278,0,32,0,75,16
0,30,48,0,1,6,0,0,0,6832,1,663,44,49,137
0,27,42,0,1,6,0,0,0,6832,1,663,44,49,174
0,11,19,0,1,6,14,26,40,1347,164,452,528,1168,91
0,17,17,0,0,6,0,0,0,278,0,32,0,75,17
0,45,58,0,0,6,14,26,40,1139,7,162,36,36,232
0,0,35,0,0,5,0,0,0,8656,11,543,42,149,75
0,0,37,0,0,5,12,26,38,6064,7,420,73,68,151
0,0,40,0,0,4,6,13,19,8656,11,543,42,149,111
0,0,6,0,0,4,0,0,0,1220,29,1076,1801,760,17
0,0,6,0,0,4,0,0,0,282,0,327,934,258,12
0,0,20,0,0,4,0,0,0,2587,4,83,19,52,20
0,0,32,0,0,3,0,0,0,97303,1576,26429,615,20977,71
0,0,2,0,0,1,0,0,0,1050,2,225,249,568,13
0,0,2,0,0,1,0,0,0,87449,1769,1237,718,3870,13
0,0,4,0,0,0,0,0,0,76527,214,1784,926,2152,21
17,31,41,6,12,14,7,13,21,329435,6164,18144,459,3633,153
8,15,22,4,10,12,0,0,0,61480,2192,2519,424,598,37
10,23,33,6,12,14,7,14,21,325505,14513,20359,311,2148,73
2,3,3,1,7,10,0,0,0,54741,303,2240,401,2090,61
0,3,3,0,4,8,0,0,0,1113,29,71,83,821,13
