@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE digg3  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE upc3  NUMERIC
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE tpc3  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
8,10,10,4,11,17,0,0,0,A
4,15,15,4,10,16,0,0,0,A
2,7,17,4,10,16,0,0,0,B
5,8,8,5,11,18,0,0,0,A
4,7,7,5,11,17,0,0,0,A
10,15,19,5,11,17,0,0,0,B
3,6,6,2,8,15,0,0,0,A
7,16,20,4,10,16,0,0,0,A
4,4,4,4,10,16,0,0,0,A
9,13,13,5,11,17,0,0,0,A
5,6,6,4,11,17,0,0,0,A
4,8,8,4,10,17,0,0,0,A
9,12,12,2,9,15,0,0,0,A
0,2,3,0,1,6,0,0,0,A
4,11,11,3,10,16,0,0,0,A
0,4,9,0,2,9,30,43,57,B
6,8,8,5,12,18,0,0,0,A
4,4,4,6,12,18,0,0,0,A
9,9,9,5,12,17,0,0,0,A
7,9,10,5,12,17,0,0,0,A
6,11,20,3,10,16,7,14,20,B
5,11,16,6,13,18,0,0,0,A
5,7,10,6,12,18,7,13,19,B
4,9,12,6,12,17,0,0,0,A
6,6,8,5,11,16,0,0,0,A
0,3,4,0,3,9,0,0,0,A
18,23,29,6,13,18,0,0,0,B
14,17,17,6,12,18,0,0,0,A
20,25,29,4,11,16,13,25,39,C
11,21,29,5,12,16,7,13,19,C
14,33,43,5,11,16,13,26,38,C
15,26,36,5,11,16,6,13,19,C
8,9,10,3,10,16,0,0,0,A
10,12,12,2,8,14,0,0,0,A
11,25,35,5,12,16,14,26,38,C
15,25,40,5,11,15,0,0,0,B
7,8,8,5,11,15,0,0,0,A
15,24,36,5,11,15,12,26,38,C
5,8,8,5,11,15,0,0,0,A
18,28,45,5,11,15,12,25,39,C
10,16,33,6,12,16,0,0,0,C
8,8,8,6,12,16,0,0,0,A
10,11,12,5,12,16,0,0,0,A
11,13,42,5,12,15,0,0,0,B
9,21,24,6,12,16,0,0,0,A
12,15,15,5,11,15,0,0,0,A
