@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE authorDiggs  NUMERIC
@ATTRIBUTE authorComments  NUMERIC
@ATTRIBUTE authorFans  NUMERIC
@ATTRIBUTE authorFollows  NUMERIC
@ATTRIBUTE authorSubmissions  NUMERIC
@ATTRIBUTE class {A, B, C, D}
@DATA
0,0,0,4,0,9,1909,13,165,176,1210,B
0,0,0,4,0,21,24435,298,2051,140,382,C
7,15,0,4,0,20,42718,451,3034,199,387,C
0,0,0,3,0,12,138783,711,8161,290,1434,B
0,0,0,2,0,3,502,0,1,0,330,A
0,0,0,2,0,51,7995,26,568,124,235,D
0,0,0,2,0,4,57,3,41,7,19,A
0,0,0,1,0,4,4544,0,2,0,3641,A
0,0,0,0,0,2,5040,4036,568,103,635,A
0,0,0,0,0,4,1872,12,265,300,710,A
0,0,0,0,0,0,41,0,60,78,37,A
0,0,0,0,0,0,450,1,52,45,80,A
0,0,0,0,0,0,270,32,6,2,262,A
0,0,0,0,0,0,166,0,60,342,12,B
0,0,0,0,0,0,5096,510,286,2,3533,A
0,0,0,0,0,0,1224,2,103,15,1147,A
0,0,0,0,0,0,437,84,360,683,370,A
0,0,0,0,0,0,9073,2545,547,34,4345,A
0,0,0,0,0,0,90,4,39,102,68,A
0,0,0,0,0,0,136,0,39,58,65,A
0,0,0,0,0,0,2324,0,4,0,956,A
0,0,0,0,0,0,1633,1,80,90,947,A
0,0,0,0,0,0,487,232,357,391,328,B
0,0,0,0,0,0,447,526,73,29,423,A
0,0,0,0,0,0,146,7,89,135,119,A
14,27,0,0,0,0,120966,17053,7637,27,12057,D
0,0,0,0,0,0,120,4,219,691,53,A
0,0,0,0,0,0,163,93,54,55,64,B
0,0,0,0,0,0,1742,0,11,0,445,B
0,0,3,3,6,8,27,0,2,3,26,B
0,0,1,3,2,4,84,1,31,12,67,A
0,0,0,3,0,4,106,1,14,7,34,A
0,0,2,2,3,5,8736,17,657,673,6355,B
0,0,1,1,6,7,231,0,0,0,9,B
7,13,1,1,7,18,76499,142,4644,391,1088,D
0,0,1,1,6,20,76499,142,4644,391,1088,C
0,0,1,1,7,7,2872,15,797,709,2632,B
0,0,1,1,3,7,82,0,12,10,81,B
0,0,6,12,3,5,127,9,80,111,9,A
12,26,6,12,27,43,79247,379,1789,1438,1328,D
0,0,5,11,10,18,325505,14513,20359,311,2148,B
0,0,4,11,5,7,54741,303,2240,401,2090,B
0,0,4,10,11,17,9896,138,669,135,144,B
7,13,4,10,7,9,54741,303,2240,401,2090,C
0,0,4,10,4,7,32,0,0,0,16,B
0,0,4,10,3,3,15463,96,1260,886,10121,B
0,0,3,10,3,4,136,1,1,0,77,A
0,0,3,9,2,2,15463,96,1260,886,10121,A
0,0,3,9,5,6,97,0,46,18,72,A
0,0,3,9,14,29,403,1,108,34,15,D
0,0,3,9,3,3,950,96,367,516,209,A
0,0,3,9,3,3,15463,96,1260,886,10121,A
0,0,2,9,4,4,558,11,410,1375,246,A
0,0,2,8,5,5,7997,26,568,124,235,B
0,0,2,8,4,4,4132,141,315,30,1550,A
0,0,1,7,2,3,107,13,446,685,80,A
0,0,1,7,3,3,498,3,60,17,368,A
7,13,1,7,2,3,54741,303,2240,401,2090,C
0,0,0,7,7,7,762,112,59,84,169,B
7,14,0,7,0,32,202,0,73,35,11,D
0,0,0,6,0,26,202,0,73,35,11,C
0,0,0,6,0,5,20915,6165,1549,977,5409,B
0,0,0,6,0,5,2784,0,1,0,1636,A
0,0,0,6,0,5,1742,0,11,0,445,A
0,0,0,6,0,6,2784,0,1,0,1636,A
13,27,0,6,0,12,20915,6165,1549,977,5409,C
0,0,0,5,0,7,2089,1516,1204,1029,31,B
0,0,0,5,0,6,619,167,118,271,129,A
0,0,0,5,0,6,249,0,2,7,192,A
0,0,0,5,0,5,1742,0,11,0,445,B
0,0,0,5,0,5,231,3,45,37,176,A
0,0,0,5,0,5,1742,0,11,0,445,B
0,0,0,5,0,25,10622,4,1515,38,140,C
0,0,0,5,0,5,1742,0,11,0,445,B
0,0,0,5,0,32,79247,379,1789,1438,1328,D
0,0,0,4,0,15,2782,3,167,496,50,C
0,0,0,4,0,24,4342,15,496,361,266,B
12,26,0,4,0,24,2574,108,72,87,9,D
0,0,0,4,0,6,805,72,45,42,544,A
0,0,0,4,0,13,23813,118,3294,1189,306,C
0,0,0,3,0,4,2784,0,1,0,1636,A
7,13,0,3,0,29,10622,4,1515,38,140,D
6,13,0,3,0,34,10622,4,1515,38,140,D
7,14,0,3,0,11,23845,197,2824,943,297,C
0,0,0,3,0,23,53,2,11,4,49,B
0,0,0,2,0,19,611,0,45,30,48,B
0,0,0,2,0,9,32,32,59,2,30,B
0,0,0,2,0,16,278,0,32,0,75,B
0,0,0,1,0,2,2649,4,6,0,812,A
0,0,0,1,0,5,13363,398,624,486,4417,A
7,13,0,1,0,14,23845,197,2824,943,297,C
0,0,0,1,0,4,881,67,100,127,39,A
0,0,0,1,0,7,4522,221,218,111,3388,A
0,0,0,1,0,19,278,0,32,0,75,B
0,0,0,1,0,8,211,2,27,12,26,A
0,0,0,1,0,16,278,0,32,0,75,B
0,0,0,1,0,30,6832,1,663,44,49,D
0,0,0,1,0,5,1742,0,11,0,445,B
0,0,0,1,0,27,6832,1,663,44,49,D
14,26,0,1,0,11,1347,164,452,528,1168,C
0,0,0,0,0,17,278,0,32,0,75,B
14,26,0,0,0,45,1139,7,162,36,36,D
0,0,0,0,0,0,447,526,73,29,423,A
0,0,0,0,0,0,8656,11,543,42,149,C
12,26,0,0,0,0,6064,7,420,73,68,D
6,13,0,0,0,0,8656,11,543,42,149,C
0,0,0,0,0,0,118,50,35,0,51,A
0,0,0,0,0,0,222,0,0,0,5,A
0,0,0,0,0,0,1220,29,1076,1801,760,B
0,0,0,0,0,0,282,0,327,934,258,A
0,0,0,0,0,0,282,0,327,934,258,B
0,0,0,0,0,0,2587,4,83,19,52,B
0,0,0,0,0,0,4544,0,2,0,3641,B
0,0,0,0,0,0,104,3,61,44,11,A
0,0,0,0,0,0,97303,1576,26429,615,20977,C
0,0,0,0,0,0,66,7,49,30,40,A
0,0,0,0,0,0,67,0,26,33,43,A
0,0,0,0,0,0,102,23,23,33,69,A
0,0,0,0,0,0,4218,17,129,187,3169,A
0,0,0,0,0,0,1050,2,225,249,568,B
0,0,0,0,0,0,660,14,414,650,411,A
0,0,0,0,0,0,87449,1769,1237,718,3870,B
0,0,0,0,0,0,87449,1769,1237,718,3870,B
0,0,0,0,0,0,135,4,273,334,109,A
0,0,0,0,0,0,76527,214,1784,926,2152,B
0,0,4,10,3,4,5378,0,3,0,3722,A
7,13,6,12,17,31,329435,6164,18144,459,3633,D
0,0,4,10,8,15,61480,2192,2519,424,598,B
0,0,4,10,3,3,2319,17823,370,1,175,A
7,14,6,12,10,23,325505,14513,20359,311,2148,C
0,0,1,7,2,3,54741,303,2240,401,2090,B
0,0,0,4,0,3,1113,29,71,83,821,B
12,26,5,11,3,4,9935,799,1106,104,8659,D
0,0,5,11,5,8,98,0,1,0,54,B
0,0,5,11,4,5,136,1,1,0,77,A
0,0,4,10,3,5,1872,12,265,300,710,B
0,0,4,10,2,2,6937,1151,539,1005,4452,A
0,0,3,10,8,8,246,135,66,170,238,A
0,0,3,9,6,7,414,280,98,29,284,B
0,0,0,5,0,4,136,1,1,0,77,A
0,0,0,5,0,3,54741,303,2240,401,2090,B
0,0,0,4,0,5,1113,29,71,83,821,B
0,0,6,11,5,5,37,3,27,11,11,A
0,0,6,11,6,6,969,195,117,235,934,A
0,0,6,11,3,3,1647,48,121,119,1470,A
0,0,5,11,20,28,15043,136,1703,238,464,D
0,0,4,10,6,14,98,0,1,0,54,B
0,0,6,12,18,23,2969,13,205,32,103,B
0,0,6,12,5,5,78,1,67,25,43,A
0,0,6,12,8,10,27425,2590,531,37,9872,B
