@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE digg3  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE upc3  NUMERIC
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE tpc3  NUMERIC
@ATTRIBUTE authorDiggs  NUMERIC
@ATTRIBUTE authorComments  NUMERIC
@ATTRIBUTE authorFans  NUMERIC
@ATTRIBUTE authorFollows  NUMERIC
@ATTRIBUTE authorSubmissions  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
3,4,4,5,10,10,0,0,0,29473,1554,1806,428,4179,B
8,11,14,5,9,9,0,0,0,89707,15817,14341,1551,2667,B
6,8,16,6,8,8,7,13,20,11553,18,574,44,166,C
5,6,6,3,8,8,7,14,20,1195,32,196,227,147,C
0,13,14,0,1,4,0,0,0,2572,108,72,87,9,B
5,8,13,5,6,6,0,0,0,248,4,92,138,36,A
33,41,56,5,6,6,0,0,0,3591,7,175,19,46,B
18,20,22,3,6,6,0,0,0,2463,12,218,573,77,A
4,5,9,5,5,5,0,0,0,594,7,162,36,290,A
11,15,15,5,5,5,0,0,0,434,1,40,15,21,A
24,26,35,3,5,5,0,0,0,686,0,41,10,8,B
8,12,21,3,5,5,0,0,0,89707,15817,14341,1551,2667,B
0,27,33,0,5,5,0,0,0,52,0,24,0,44,A
16,20,20,4,4,4,0,0,0,4451,48,407,161,59,A
23,41,61,4,4,4,21,42,60,13951,289,2957,224,552,C
8,10,17,4,4,4,7,14,20,82931,121,8762,875,1841,C
4,5,5,4,4,4,0,0,0,1909,0,2,0,435,A
0,0,11,0,0,2,6,13,20,2805,16,711,1229,394,B
21,40,49,3,3,3,0,0,0,4878,43,337,41,97,B
24,29,46,3,3,3,0,0,0,8695,11,895,511,148,B
23,28,44,3,3,3,0,0,0,3624,5,199,33,48,B
21,38,48,3,3,3,0,0,0,1139,7,162,36,36,A
6,7,13,3,3,3,0,0,0,22,4,90,54,9,A
6,8,13,3,3,3,0,0,0,82931,121,8762,875,1841,B
3,4,5,2,3,3,0,0,0,6937,1151,539,1005,4452,A
7,7,8,2,2,2,0,0,0,2324,0,4,0,956,A
3,3,14,1,2,2,0,0,0,4239,0,407,211,3210,B
19,22,22,4,4,4,0,0,0,182,0,35,7,33,A
32,39,43,4,4,4,35,69,100,5577,37,409,633,82,C
4,10,11,4,4,4,0,0,0,119,1,96,53,87,A
15,21,31,3,4,4,16,28,42,23813,118,3292,1189,306,C
16,26,28,2,4,4,0,0,0,1037,2,58,7,40,A
11,11,11,2,4,4,0,0,0,2253,5,134,59,153,A
10,13,13,1,4,4,0,0,0,1243,2,91,59,53,A
19,34,37,1,4,4,0,0,0,1545,1,56,6,17,A
18,30,31,0,4,4,0,0,0,1545,1,56,6,17,A
0,35,50,0,4,4,14,28,42,836,8,72,244,17,C
0,18,25,0,4,4,0,0,0,2456,3,83,24,4,B
0,7,7,0,4,4,0,0,0,2649,4,6,0,812,A
0,30,42,0,4,4,0,0,0,836,8,72,244,17,C
0,11,17,0,4,4,0,0,0,217898,11753,11736,183,2468,A
0,12,12,0,4,4,0,0,0,2524,39,798,11,2499,A
0,19,19,0,4,4,0,0,0,364,1,139,172,26,A
0,27,36,0,4,4,0,0,0,1581,3,88,153,38,A
0,11,15,0,4,4,0,0,0,138783,711,8161,290,1434,A
0,28,35,0,4,4,0,0,0,93170,477,3652,109,360,B
0,27,32,0,4,4,0,0,0,93170,477,3652,109,360,B
0,2,2,0,4,4,0,0,0,5038,4036,568,103,635,A
0,9,11,0,4,4,0,0,0,1909,13,165,176,1210,A
0,21,26,0,4,4,0,0,0,24435,298,2051,140,382,B
