@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
0,8,0,5,7,13,C
2,3,5,12,0,0,A
12,27,5,11,13,27,C
13,17,2,9,0,0,B
18,22,5,11,0,0,B
11,16,5,11,0,0,B
10,13,6,12,0,0,A
3,3,4,11,0,0,A
15,15,5,12,0,0,A
5,6,5,12,0,0,A
13,13,5,12,0,0,A
2,2,2,8,0,0,A
3,4,5,11,0,0,A
8,14,4,10,0,0,A
22,25,6,13,0,0,A
7,11,4,11,0,0,A
4,6,6,13,0,0,A
14,24,6,12,7,14,C
12,22,6,12,0,0,B
6,9,5,12,7,14,B
14,22,5,12,14,28,C
12,15,6,12,0,0,A
7,8,6,12,0,0,A
26,44,6,13,7,13,C
11,12,6,13,0,0,B
3,6,6,12,0,0,C
0,3,0,6,0,0,A
21,33,5,11,7,14,C
5,8,2,8,0,0,A
9,11,5,11,0,0,A
2,3,5,11,0,0,A
0,0,0,0,0,0,A
7,9,5,11,0,0,C
10,10,6,13,0,0,A
4,4,6,12,0,0,A
4,8,4,10,0,0,A
4,4,4,11,0,0,A
9,14,5,12,0,0,C
8,8,5,11,0,0,A
0,3,0,5,0,0,A
11,11,6,12,0,0,A
6,6,4,10,0,0,A
4,4,4,10,0,0,A
5,6,6,12,0,0,A
5,13,5,12,14,28,C
5,6,5,11,0,0,A
0,4,0,5,0,0,A
6,7,5,12,0,0,A
6,12,5,11,29,62,C
11,15,6,12,7,17,C
4,5,7,13,0,0,A
8,8,7,13,6,19,C
7,7,5,11,0,0,A
2,2,5,11,0,0,A
7,7,5,11,0,0,B
7,9,5,11,0,0,A
3,3,5,11,0,0,A
8,8,5,11,0,0,A
8,8,5,11,0,0,A
8,10,5,11,16,44,C
2,2,4,10,0,0,B
3,3,1,7,0,0,A
7,8,4,10,14,29,B
0,2,0,4,0,0,A
3,7,4,10,0,0,A
59,83,5,11,0,0,B
5,10,3,9,0,0,A
3,3,2,8,0,0,A
2,3,5,12,0,0,A
9,10,2,8,0,0,A
2,5,5,11,0,0,B
4,6,6,12,0,0,A
6,7,4,11,0,0,A
8,10,4,11,0,0,A
4,15,4,10,0,0,A
2,7,4,10,0,0,B
5,8,5,11,0,0,A
4,7,5,11,0,0,A
10,15,5,11,0,0,B
3,6,2,8,0,0,A
7,16,4,10,0,0,A
4,4,4,10,0,0,A
9,13,5,11,0,0,A
5,6,4,11,0,0,A
4,8,4,10,0,0,A
9,12,2,9,0,0,A
0,2,0,1,0,0,A
4,11,3,10,0,0,A
0,4,0,2,30,43,B
6,8,5,12,0,0,A
4,4,6,12,0,0,A
9,9,5,12,0,0,A
7,9,5,12,0,0,A
6,11,3,10,7,14,B
5,11,6,13,0,0,A
5,7,6,12,7,13,B
4,9,6,12,0,0,A
6,6,5,11,0,0,A
0,3,0,3,0,0,A
18,23,6,13,0,0,B
14,17,6,12,0,0,A
20,25,4,11,13,25,C
11,21,5,12,7,13,C
14,33,5,11,13,26,C
