@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE class {A, B, C, D}
@DATA
0,5,0,11,4,4,B
0,5,0,10,18,25,C
0,5,0,10,7,9,B
0,4,0,10,7,9,B
0,2,0,8,2,4,B
0,0,0,3,0,4,A
0,0,0,2,0,4,A
0,6,0,11,10,19,B
0,6,0,11,4,4,A
0,6,0,11,3,3,A
0,4,0,10,2,2,A
0,4,0,10,2,2,A
0,0,0,4,0,2,A
0,5,0,11,6,6,A
0,5,0,11,2,3,A
0,5,0,11,3,3,A
6,5,14,11,7,9,D
0,5,0,10,3,3,B
0,4,0,10,3,8,B
0,3,0,9,5,8,B
0,3,0,8,3,3,A
0,2,0,8,4,4,A
0,5,0,11,3,3,A
0,5,0,11,16,20,B
0,4,0,11,8,8,A
0,4,0,11,6,7,A
0,4,0,10,9,11,B
7,4,14,10,6,8,B
0,4,0,10,5,9,B
0,4,0,10,16,21,C
0,4,0,10,16,17,B
0,4,0,10,3,6,B
0,3,0,9,5,6,A
0,3,0,9,6,6,A
0,3,0,9,8,8,A
0,2,0,8,3,6,B
0,0,0,4,0,2,A
0,5,0,11,4,5,B
0,5,0,11,6,11,B
0,5,0,11,6,7,B
0,5,0,11,7,8,B
0,4,0,11,4,5,A
0,4,0,10,4,5,A
0,4,0,10,5,6,A
0,4,0,10,4,5,A
0,4,0,10,4,5,A
0,4,0,10,3,3,A
0,4,0,10,4,5,A
0,4,0,10,5,5,A
0,0,0,1,0,5,A
0,5,0,11,5,5,A
0,4,0,10,5,5,A
0,5,0,12,21,30,C
0,5,0,11,3,4,A
0,5,0,11,27,38,C
8,5,14,11,33,43,D
0,5,0,11,13,22,B
0,3,0,9,4,4,B
0,0,0,4,0,6,A
21,6,44,12,4,10,D
0,6,0,12,3,3,A
0,6,0,12,2,4,A
0,6,0,12,6,6,B
0,5,0,12,4,4,A
0,5,0,12,17,28,D
0,5,0,11,2,4,A
0,5,0,11,4,6,B
0,5,0,11,5,6,B
7,5,15,11,16,29,B
0,5,0,11,5,5,B
0,4,0,10,8,8,B
0,3,0,9,5,6,A
0,3,0,9,5,7,A
0,2,0,9,2,3,A
0,2,0,8,3,3,A
0,1,0,7,3,3,B
7,1,14,7,3,6,B
0,6,6,12,13,19,C
24,6,45,12,15,21,D
0,5,0,12,7,9,B
0,5,0,11,2,3,B
0,5,0,11,3,3,A
0,5,0,11,5,5,B
8,4,15,10,20,30,C
0,0,0,6,0,3,A
0,0,0,5,0,3,B
0,5,0,11,35,44,C
0,4,0,10,5,5,B
0,6,0,12,3,3,A
0,4,0,10,2,2,B
