@RELATION Digg_SocialDynamicsBasedFeatures
@ATTRIBUTE digg1  NUMERIC
@ATTRIBUTE digg2  NUMERIC
@ATTRIBUTE digg3  NUMERIC
@ATTRIBUTE digg4  NUMERIC
@ATTRIBUTE digg5  NUMERIC
@ATTRIBUTE upc1  NUMERIC
@ATTRIBUTE upc2  NUMERIC
@ATTRIBUTE upc3  NUMERIC
@ATTRIBUTE upc4  NUMERIC
@ATTRIBUTE upc5  NUMERIC
@ATTRIBUTE tpc1  NUMERIC
@ATTRIBUTE tpc2  NUMERIC
@ATTRIBUTE tpc3  NUMERIC
@ATTRIBUTE tpc4  NUMERIC
@ATTRIBUTE tpc5  NUMERIC
@ATTRIBUTE class {A, B, C}
@DATA
0,25,37,49,63,0,5,10,10,10,0,0,0,0,0,B
0,32,48,55,74,0,5,10,10,10,0,0,0,0,0,C
0,15,27,41,60,0,4,10,10,10,0,0,0,0,0,B
0,24,24,24,24,0,4,10,10,10,0,0,0,0,0,A
0,24,36,50,60,0,4,10,10,10,12,26,40,52,68,C
0,13,36,52,55,0,4,8,8,8,0,0,0,0,0,B
0,29,43,52,67,0,3,8,8,8,7,13,20,27,34,C
0,34,46,55,67,0,3,8,8,8,6,13,20,26,34,C
0,11,16,26,32,0,3,8,8,8,7,14,20,27,34,B
0,23,23,23,23,0,3,8,8,8,0,0,0,0,0,A
0,19,22,24,24,0,2,7,7,7,0,0,0,0,0,A
0,9,12,12,12,0,2,7,7,7,0,0,0,0,0,A
0,16,16,16,16,0,2,7,7,7,0,0,0,0,0,A
0,14,18,21,29,0,1,7,7,7,7,13,20,27,34,B
0,19,19,19,19,0,1,7,7,7,0,0,0,0,0,A
0,16,16,16,16,0,1,6,6,6,0,0,0,0,0,A
0,30,48,65,82,0,1,6,6,6,0,0,0,0,0,C
0,27,42,60,71,0,1,6,6,6,0,0,0,0,0,C
0,11,19,27,27,0,1,6,6,6,14,26,40,54,68,B
0,17,17,17,17,0,0,6,6,6,0,0,0,0,0,A
0,45,58,65,73,0,0,6,6,6,14,26,40,53,68,C
0,0,35,46,61,0,0,5,5,5,0,0,0,0,0,B
0,0,37,38,45,0,0,5,5,5,12,26,38,52,66,C
0,0,40,55,67,0,0,4,4,4,6,13,19,26,33,B
0,0,6,7,9,0,0,4,4,4,0,0,0,0,0,A
0,0,6,11,12,0,0,4,4,4,0,0,0,0,0,A
0,0,20,20,20,0,0,4,4,4,0,0,0,0,0,A
0,0,32,39,44,0,0,3,4,4,0,0,0,0,0,B
0,0,2,3,3,0,0,1,2,2,0,0,0,0,0,A
0,0,2,6,6,0,0,1,1,1,0,0,0,0,0,A
0,0,4,6,6,0,0,0,1,1,0,0,0,0,0,A
17,31,41,52,53,6,12,14,14,14,7,13,21,28,35,C
8,15,22,27,30,4,10,12,12,12,0,0,0,0,0,A
10,23,33,38,42,6,12,14,14,14,7,14,21,29,36,B
2,3,3,5,6,1,7,10,10,10,0,0,0,0,0,A
0,3,3,5,5,0,4,8,8,8,0,0,0,0,0,A
3,4,6,8,11,5,11,12,12,12,12,26,41,56,70,C
5,8,9,9,9,5,11,12,12,12,0,0,0,0,0,A
3,5,7,9,9,4,10,12,12,12,0,0,0,0,0,A
0,3,3,5,5,0,5,8,8,8,0,0,0,0,0,A
0,5,5,8,9,0,4,8,8,8,0,0,0,0,0,A
20,28,29,31,35,5,11,12,12,12,0,0,0,0,0,C
6,14,16,16,16,4,10,11,11,11,0,0,0,0,0,A
18,23,24,27,30,6,12,15,15,15,0,0,0,0,0,A
8,10,11,13,13,6,12,15,15,15,0,0,0,0,0,A
16,19,20,23,24,6,12,15,15,15,0,0,0,0,0,A
4,4,4,6,8,6,12,16,16,16,0,0,0,0,0,A
6,8,9,10,12,6,11,16,16,16,0,0,0,0,0,A
16,31,40,47,58,6,11,15,15,15,7,14,21,29,36,C
22,31,37,41,50,6,11,15,15,15,7,14,21,28,35,B
22,26,31,39,47,5,11,15,15,15,7,14,21,28,35,B
3,3,3,4,5,5,11,15,15,15,0,0,0,0,0,A
4,4,4,5,8,5,11,14,14,14,0,0,0,0,0,A
18,25,32,42,59,5,10,13,13,13,0,0,0,0,0,B
7,9,14,16,19,5,10,13,13,13,0,0,0,0,0,A
7,9,9,9,10,4,10,12,12,12,0,0,0,0,0,A
2,4,4,4,4,2,8,9,9,9,0,0,0,0,0,A
10,19,27,30,37,6,11,15,15,15,0,0,0,0,0,A
7,9,11,15,17,5,11,15,15,15,6,14,21,28,36,C
3,8,8,8,8,4,10,14,14,14,0,0,0,0,0,A
5,8,10,12,13,3,9,13,13,13,0,0,0,0,0,A
16,20,23,26,29,5,11,16,16,16,0,0,0,0,0,A
9,11,12,13,13,4,10,15,15,15,0,0,0,0,0,A
6,8,9,14,16,4,10,15,15,15,7,14,22,29,38,A
5,9,10,12,15,4,10,14,14,14,0,0,0,0,0,A
16,21,36,43,49,4,10,14,14,14,0,0,0,0,0,B
16,17,18,21,24,4,10,14,14,14,0,0,0,0,0,A
3,6,6,6,6,4,10,14,14,14,0,0,0,0,0,A
3,6,6,8,9,2,8,12,12,12,0,0,0,0,0,A
4,5,6,7,7,5,11,16,16,16,0,0,0,0,0,A
6,11,12,14,15,5,11,16,16,16,0,0,0,0,0,A
6,7,7,8,10,5,11,16,16,16,0,0,0,0,0,A
7,8,8,10,12,5,11,16,16,16,0,0,0,0,0,A
21,30,34,36,39,5,12,17,17,17,0,0,0,0,0,B
27,38,50,62,70,5,11,15,15,15,0,0,0,0,0,B
33,43,58,86,102,5,11,16,16,16,8,14,24,38,54,C
13,22,29,33,39,5,11,16,16,16,0,0,0,0,0,A
4,4,4,4,4,3,9,14,14,14,0,0,0,0,0,A
4,10,18,28,32,6,12,18,18,18,21,44,65,90,111,C
17,28,32,34,51,5,12,18,18,18,0,0,0,0,0,C
4,6,7,13,14,5,11,18,18,18,0,0,0,0,0,A
16,29,33,42,49,5,11,17,18,18,7,15,22,34,48,A
3,6,9,12,14,1,7,12,12,12,7,14,22,29,37,A
13,19,31,34,36,6,12,18,19,19,0,6,13,22,29,B
15,21,37,48,52,6,12,18,19,19,24,45,66,93,120,C
7,9,9,10,13,5,12,17,17,17,0,0,0,0,0,A
2,3,3,6,6,5,11,17,17,17,0,0,0,0,0,A
5,5,8,9,11,5,11,17,18,18,0,0,0,0,0,A
20,30,32,45,54,4,10,16,17,17,8,15,22,36,50,B
0,3,3,3,5,0,5,10,10,10,0,0,0,0,0,A
35,44,47,54,61,5,11,17,17,17,0,0,0,0,0,B
5,5,5,5,5,4,10,17,17,17,0,0,0,0,0,A
2,2,3,3,3,4,10,16,16,16,0,0,0,0,0,A
4,15,20,23,23,5,11,17,17,17,7,14,22,30,37,A
